C1	C2	C3	C4	C5	C6	Score	IID	ID
1:1:1:1	1	1	1	1	NA	0.0034325	"2203"	AT2G07714
1:1:1:2	1	1	1	2	NA	0.00320366	"2242"	AT2G07775
1:1:1:3	1	1	1	3	NA	0.00314646	"2184"	AT2G07682
1:1:1:4	1	1	1	4	NA	0.00314646	"7834"	ATMG00740
1:1:1:5	1	1	1	5	NA	0.00308925	"2252"	AT2G07806
1:1:1:6	1	1	1	6	NA	0.00303204	"7843"	ATMG00850
1:1:1:7	1	1	1	7	NA	0.00297483	"2194"	AT2G07697
1:1:1:8	1	1	1	8	NA	0.00297483	"7859"	ATMG01100
1:1:1:9	1	1	1	9	NA	0.00297483	"2256"	AT2G07812
1:1:1:10	1	1	1	10	NA	0.00291762	"7842"	ATMG00840
1:1:1:11	1	1	1	11	NA	0.00291762	"7824"	ATMG00550
1:1:1:12	1	1	1	12	NA	0.00291762	"2222"	AT2G07737
1:1:1:13	1	1	1	13	NA	0.00291762	"7806"	ATMG00310
1:1:1:14	1	1	1	14	NA	0.00286041	"2210"	AT2G07722
1:1:1:15	1	1	1	15	NA	0.00286041	"2192"	AT2G07692
1:1:1:16	1	1	1	16	NA	0.00280321	"2178"	AT2G07667
1:1:1:17	1	1	1	17	NA	0.00268879	"2181"	AT2G07677
1:1:1:18	1	1	1	18	NA	0.00268879	"7849"	ATMG00940
1:1:1:19	1	1	1	19	NA	0.00268879	"7807"	ATMG00320
1:1:1:20	1	1	1	20	NA	0.00268879	"2187"	AT2G07686
1:1:1:21	1	1	1	21	NA	0.00268879	"7835"	ATMG00750
1:1:1:22	1	1	1	22	NA	0.00268879	"2185"	AT2G07683
1:1:1:23	1	1	1	23	NA	0.00268879	"7846"	ATMG00880
1:1:1:24	1	1	1	24	NA	0.00263158	"7844"	ATMG00860
1:1:1:25	1	1	1	25	NA	0.00263158	"7813"	ATMG00450
1:1:1:26	1	1	1	26	NA	0.00263158	"2179"	AT2G07669
1:1:1:27	1	1	1	27	NA	0.00257437	"2254"	AT2G07809
1:1:1:28	1	1	1	28	NA	0.00257437	"7829"	ATMG00600
1:1:1:29	1	1	1	29	NA	0.00251717	"7865"	ATMG01250
1:1:1:30	1	1	1	30	NA	0.00245996	"2183"	AT2G07681
1:1:1:31	1	1	1	31	NA	0.00245996	"7866"	ATMG01260
1:1:1:32	1	1	1	32	NA	0.00245996	"2257"	AT2G07813
1:1:1:33	1	1	1	33	NA	0.00240275	"7793"	ATMG00170
1:1:1:34	1	1	1	34	NA	0.00240275	"7831"	ATMG00620
1:1:1:35	1	1	1	35	NA	0.00223112	"7870"	ATMG01300
1:1:1:36	1	1	1	36	NA	0.00223112	"2186"	AT2G07685
1:1:1:37	1	1	1	37	NA	0.00223112	"2250"	AT2G07798
1:1:1:38	1	1	1	38	NA	0.00217391	"2209"	AT2G07721
1:1:1:39	1	1	1	39	NA	0.00211671	"7840"	ATMG00820
1:1:1:40	1	1	1	40	NA	0.0020595	"7815"	ATMG00470
1:1:1:41	1	1	1	41	NA	0.0020595	"2202"	AT2G07713
1:1:1:42	1	1	1	42	NA	0.0020595	"7823"	ATMG00540
1:1:1:43	1	1	1	43	NA	0.00200229	"2247"	AT2G07787
1:1:1:44	1	1	1	44	NA	0.00194508	"7836"	ATMG00760
1:1:1:45	1	1	1	45	NA	0.00188787	"7845"	ATMG00870
1:1:1:46	1	1	1	46	NA	0.00188787	"2229"	AT2G07749
1:1:1:47	1	1	1	47	NA	0.00171625	"7839"	ATMG00810
1:1:1:48	1	1	1	48	NA	0.00160183	"2196"	AT2G07706
1:1:1:49	1	1	1	49	NA	0.00143021	"2215"	AT2G07728
1:1:1:50	1	1	1	50	NA	0.00143021	"2238"	AT2G07762
1:1:1:51	1	1	1	51	NA	0.00143021	"7808"	ATMG00350
1:1:1:52	1	1	1	52	NA	0.001373	"7864"	ATMG01230
1:1:1:53	1	1	1	53	NA	0.001373	"7861"	ATMG01180
1:1:1:54	1	1	1	54	NA	0.001373	"2223"	AT2G07738
1:1:1:55	1	1	1	55	NA	0.00125858	"7838"	ATMG00800
1:1:1:56	1	1	1	56	NA	0.00125858	"2232"	AT2G07752
1:1:1:57	1	1	1	57	NA	0.00120137	"2191"	AT2G07691
1:1:1:58	1	1	1	58	NA	0.00120137	"7871"	ATMG01310
1:1:1:59	1	1	1	59	NA	0.00114416	"2241"	AT2G07772
1:1:1:60	1	1	1	60	NA	0.00108696	"2177"	AT2G07664
1:1:1:61	1	1	1	61	NA	0.00108696	"7854"	ATMG01040
1:1:1:62	1	1	1	62	NA	0.00102975	"2216"	AT2G07729
1:1:1:63	1	1	1	63	NA	0.00102975	"7799"	ATMG00240
1:1:1:64	1	1	1	64	NA	0.00091533	"2227"	AT2G07746
1:1:1:65	1	1	1	65	NA	0.000858122	"7850"	ATMG00950
1:1:1:66	1	1	1	66	NA	0.000800915	"6783"	AT5G28450
1:1:1:67	1	1	1	67	NA	0.000743708	"6201"	AT5G07530
1:1:1:68	1	1	1	68	NA	0.000743707	"2235"	AT2G07757
1:1:1:69	1	1	1	69	NA	0.000743707	"7798"	ATMG00230
1:1:1:70	1	1	1	70	NA	0.000629291	"7837"	ATMG00770
1:1:1:71	1	1	1	71	NA	0.00062929	"6955"	AT5G40405
1:1:1:72	1	1	1	72	NA	0.000572082	"1815"	AT1G73890
1:1:1:73	1	1	1	73	NA	0.000572081	"6430"	AT5G15340
1:1:1:74	1	1	1	74	NA	0.000457665	"2536"	AT2G22100
1:1:1:75	1	1	1	75	NA	0.000457665	"4674"	AT3G58830
1:1:1:76	1	1	1	76	NA	0.000400457	"145"	AT1G05785
1:1:1:77	1	1	1	77	NA	0.000343249	"76"	AT1G03540
1:1:1:78	1	1	1	78	NA	0.000228833	"2251"	AT2G07799
1:1:1:79	1	1	1	79	NA	0.000228833	"7801"	ATMG00260
1:1:1:80	1	1	1	80	NA	0.000228833	"7611"	AT5G62560
1:1:1:81	1	1	1	81	NA	0.000171625	"4576"	AT3G55340
1:1:1:82	1	1	1	82	NA	0.000171625	"6035"	AT5G01881
1:1:1:83	1	1	1	83	NA	0.000171624	"7869"	ATMG01290
1:1:1:84	1	1	1	84	NA	0.000114416	"6819"	AT5G35290
1:1:1:85	1	1	1	85	NA	0.000114416	"7343"	AT5G53860
1:1:1:86	1	1	1	86	NA	5.72083e-05	"4860"	AT4G01670
1:1:1:87	1	1	1	87	NA	5.72083e-05	"5823"	AT4G34560
1:1:1:88	1	1	1	88	NA	5.72082e-05	"6754"	AT5G27400
1:1:1:89	1	1	1	89	NA	5.72082e-05	"5162"	AT4G14170
1:1:1:90	1	1	1	90	NA	5.72081e-05	"3322"	AT3G01710
1:1:1:91	1	1	1	91	NA	5.72081e-05	"4760"	AT3G62030
1:1:1:92	1	1	1	92	NA	5.72081e-05	"7531"	AT5G60110
1:1:1:93	1	1	1	93	NA	5.72081e-05	"1541"	AT1G64618
1:1:1:94	1	1	1	94	NA	5.72081e-05	"1548"	AT1G64780
1:1:2:1	1	1	2	1	NA	0.000858123	"6093"	AT5G03944
1:1:2:2	1	1	2	2	NA	0.000686498	"2259"	AT2G07820
1:1:2:3	1	1	2	3	NA	0.000457666	"4212"	AT3G43153
1:1:2:4	1	1	2	4	NA	0.000343249	"4998"	AT4G08967
1:1:2:5	1	1	2	5	NA	0.000286041	"1066"	AT1G44990
1:1:2:6	1	1	2	6	NA	0.000286041	"6390"	AT5G14010
1:1:2:7	1	1	2	7	NA	0.000286041	"6797"	AT5G30341
1:1:2:8	1	1	2	8	NA	0.000228833	"889"	AT1G30800
1:1:2:9	1	1	2	9	NA	0.000171625	"2268"	AT2G10608
1:1:2:10	1	1	2	10	NA	0.000171625	"7004"	AT5G42120
1:1:2:11	1	1	2	11	NA	0.000171625	"7037"	AT5G42905
1:1:2:12	1	1	2	12	NA	5.72083e-05	"6322"	AT5G11416
1:1:2:13	1	1	2	13	NA	5.72081e-05	"4189"	AT3G31051
1:1:3:1	1	1	3	1	NA	0.000629291	"7855"	ATMG01060
1:1:3:2	1	1	3	2	NA	0.000286041	"2225"	AT2G07743
1:1:3:3	1	1	3	3	NA	0.000286041	"7856"	ATMG01070
1:1:3:4	1	1	3	4	NA	0.000286041	"2249"	AT2G07795
1:1:3:5	1	1	3	5	NA	0.000286041	"934"	AT1G32190
1:1:3:6	1	1	3	6	NA	0.000228833	"7780"	ATCG00230
1:1:3:7	1	1	3	7	NA	0.000228833	"7402"	AT5G55680
1:1:3:8	1	1	3	8	NA	5.72083e-05	"5096"	AT4G12390
